序号,论文标题,相关链接,论文编号,被引次数
12,Association Rule Mining Algorithm and Analysis of Missing Values.,"<a href=""http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1ICAW_2003_v1n3_150""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper-oa.dark.hollow.16x16.png""/></a>","=""http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1ICAW_2003_v1n3_150",被引次数暂无
13,A Statistical Theory for Quantitative Association Rules.,"<a href=""https://doi.org/10.1023/A:1022812808206""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1022812808206,73
14,Mining association rules on significant rare data using relative support.,"<a href=""https://doi.org/10.1016/S0164-1212(02)00128-0""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0164-1212(02)00128-0,96
15,A rough set model with ontologies for discovering maximal association rules in document collections.,"<a href=""https://doi.org/10.1016/S0950-7051(03)00025-X""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0950-7051(03)00025-X,28
16,Continuous and incremental data mining association rules using frame metadata model.,"<a href=""https://doi.org/10.1016/S0950-7051(02)00076-X""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0950-7051(02)00076-X,10
17,Discovering fuzzy association rules using fuzzy partition methods.,"<a href=""https://doi.org/10.1016/S0950-7051(02)00079-5""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0950-7051(02)00079-5,53
18,Knowledge-based association rule mining using AND-OR taxonomies.,"<a href=""https://doi.org/10.1016/S0950-7051(02)00050-3""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0950-7051(02)00050-3,11
19,Applying association rules to information navigation.,"<a href=""https://doi.org/10.1002/scj.10120""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1002/scj.10120,2
20,Mining fuzzy association rules in a bank-account database.,"<a href=""https://doi.org/10.1109/TFUZZ.2003.809901""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TFUZZ.2003.809901,52
21,Fuzzy association rules: general model and applications.,"<a href=""https://doi.org/10.1109/TFUZZ.2003.809896""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TFUZZ.2003.809896,208
22,Fuzzy Set Approaches to Spatial Data Mining of Association Rules.,"<a href=""https://doi.org/10.1111/1467-9671.00133""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1111/1467-9671.00133,33
23,Progressive Partition Miner: An Efficient Algorithm for Mining General Temporal Association Rules.,"<a href=""https://doi.org/10.1109/TKDE.2003.1209015""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TKDE.2003.1209015,47
24,Forecasting Association Rules Using Existing Data Sets.,"<a href=""https://doi.org/10.1109/TKDE.2003.1245284""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TKDE.2003.1245284,1
25,Efficient Mining of Intertransaction Association Rules.,"<a href=""https://doi.org/10.1109/TKDE.2003.1161581""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TKDE.2003.1161581,103
26,Pushing Support Constraints Into Association Rules Mining.,"<a href=""https://doi.org/10.1109/TKDE.2003.1198396""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TKDE.2003.1198396,48
27,Visual post-analysis of association rules.,"<a href=""https://doi.org/10.1016/j.jvlc.2003.06.004""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/j.jvlc.2003.06.004,8
28,CrystalBall : A Framework for Mining Variants of Association Rules.,"<a href=""http://crpit.scem.westernsydney.edu.au/abstracts/CRPITV17Ong.html""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""http://crpit.scem.westernsydney.edu.au/abstracts/CRPITV17Ong.html",被引次数暂无
29,Session Boundary Detection for Association Rule Learning Using n-Gram Language Models.,"<a href=""https://doi.org/10.1007/3-540-44886-1_19""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-44886-1_19,6
30,Improving the SLA Algorithm Using Association Rules.,"<a href=""https://doi.org/10.1007/978-3-540-39853-0_14""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-39853-0_14,1
31,A Recycle Technique of Association Rule for Missing Value Completion.,"<a href=""https://doi.org/10.1109/AINA.2003.1192936""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/AINA.2003.1192936,3
32,Exploring Out-Patient Behaviors in Claim Database: A Case Study Using Association Rules.,"<a href=""https://knowledge.amia.org/amia-55142-a2003a-1.616734/t-002-1.618748/f-001-1.618749/a-194-1.619507/a-195-1.619504""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""https://knowledge.amia.org/amia-55142-a2003a-1.616734/t-002-1.618748/f-001-1.618749/a-194-1.619507/a-195-1.619504",被引次数暂无
33,A Framework for Infection Control Surveillance Using Association Rules.,"<a href=""https://knowledge.amia.org/amia-55142-a2003a-1.616734/t-001-1.619623/f-001-1.619624/a-083-1.619853/a-084-1.619850""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""https://knowledge.amia.org/amia-55142-a2003a-1.616734/t-001-1.619623/f-001-1.619624/a-083-1.619853/a-084-1.619850",被引次数暂无
34,Association Rule Discovery with Unbalanced Class Distributions.,"<a href=""https://doi.org/10.1007/978-3-540-24581-0_19""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-24581-0_19,9
35,Mining Association Rules Using Fuzzy Inference on Web Data.,"<a href=""https://doi.org/10.1007/3-540-44831-4_9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-44831-4_9,0
36,Mining association rules with multiple Min-supports - Application to Symbolic data.,"<a href=""https://dblp.org/rec/conf/bda/WanZ03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/bda/WanZ03.html",被引次数暂无
37,Performance Evaluation and Analysis of K-Way Join Variants for Association Rule Mining.,"<a href=""https://doi.org/10.1007/3-540-45073-4_9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45073-4_9,9
38,Quantitative Association Rules Mining Methods with Privacy-Preserving.,"<a href=""https://dblp.org/rec/conf/caine/ChenMWL03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/caine/ChenMWL03.html",被引次数暂无
39,Mining Association Rules from Relational Data - Average Distance Based Method.,"<a href=""https://doi.org/10.1007/978-3-540-39964-3_48""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-39964-3_48,2
40,Parallel Algorithm for Mining Fuzzy Association Rules.,"<a href=""https://doi.org/10.1109/CYBER.2003.1253467""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/CYBER.2003.1253467,0
41,Ordinal Association Rules towards Association Rules.,"<a href=""https://doi.org/10.1007/978-3-540-45228-7_17""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45228-7_17,1
42,Performance Evaluation of SQL-OR Variants for Association Rule Mining.,"<a href=""https://doi.org/10.1007/978-3-540-45228-7_29""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45228-7_29,5
43,Parameterless Data Compression and Noise Filtering Using Association Rule Mining.,"<a href=""https://doi.org/10.1007/978-3-540-45228-7_28""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45228-7_28,2
44,Integrating Association Rule Mining Algorithms with the F2 OODBMS.,"<a href=""https://doi.org/10.1007/978-3-540-45227-0_71""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45227-0_71,2
45,An XML-Enabled Association Rule Framework.,"<a href=""https://doi.org/10.1007/978-3-540-45227-0_10""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45227-0_10,15
46,Parallel Association Rule Mining with Minimum Inter-Processor Communication.,"<a href=""https://doi.org/10.1109/DEXA.2003.1232075""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/DEXA.2003.1232075,3
47,Microarray Gene Expression Data Association Rules Mining Based On JG-Tree.,"<a href=""https://doi.org/10.1109/DEXA.2003.1231993""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/DEXA.2003.1231993,1
48,Association Rules and Dempster-Shafer Theory of Evidence.,"<a href=""https://doi.org/10.1007/978-3-540-39644-4_36""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-39644-4_36,2
49,Discovering Exceptional Information from Customer Inquiry by Association Rule Miner.,"<a href=""https://doi.org/10.1007/978-3-540-39644-4_23""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-39644-4_23,1
50,The interestingness of association rules.,"<a href=""https://doi.org/10.1117/12.485681""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1117/12.485681,0
51,Mathematical Foundation of Association Rules: mining generalized associations by linear inequalities.,"<a href=""https://doi.org/10.1117/12.498863""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1117/12.498863,2
52,Association rules and fuzzy association rules to find new query terms.,"<a class=""archive"" href=""https://web.archive.org/web/*/http://www.eusflat.org/proceedings/EUSFLAT_2003/papers/05Delgado.pdf""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper-archive.dark.hollow.16x16.png""/></a>","s=""archive"" href=""https://web.archive.org/web/*/http://www.eusflat.org/proceedings/EUSFLAT_2003/papers/05Delgado.pdf",被引次数暂无
53,ARMOR: Association Rule Mining based on ORacle.,"<a href=""https://ceur-ws.org/Vol-90/pudi.pdf""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper-oa.dark.hollow.16x16.png""/></a>","=""https://ceur-ws.org/Vol-90/pudi.pdf",被引次数暂无
54,An Improved Algorithm for Mining Association Rules Using Multiple Support Values.,"<a href=""http://www.aaai.org/Library/FLAIRS/2003/flairs03-060.php""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper-oa.dark.hollow.16x16.png""/></a>","=""http://www.aaai.org/Library/FLAIRS/2003/flairs03-060.php",被引次数暂无
55,A Comparison of Standard and Interval Association Rules.,"<a href=""http://www.aaai.org/Library/FLAIRS/2003/flairs03-072.php""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper-oa.dark.hollow.16x16.png""/></a>","=""http://www.aaai.org/Library/FLAIRS/2003/flairs03-072.php",被引次数暂无
56,Linguistic summarization of data sets using association rules.,"<a href=""https://doi.org/10.1109/FUZZ.2003.1209449""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/FUZZ.2003.1209449,22
57,A clustering algorithm with genetically optimized membership functions for fuzzy association rules mining.,"<a href=""https://doi.org/10.1109/FUZZ.2003.1206547""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/FUZZ.2003.1206547,46
58,A fast association rule algorithm based on bitmap and granular computing.,"<a href=""https://doi.org/10.1109/FUZZ.2003.1209445""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/FUZZ.2003.1209445,17
59,Using Data Cube for Mining of Hybrid-Dimensional Association Rules.,"<a href=""https://doi.org/10.1007/978-3-540-24680-0_142""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-24680-0_142,1
60,Ad-Hoc Association-Rule Mining within the Data Warehouse.,"<a href=""https://doi.org/10.1109/HICSS.2003.1174605""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/HICSS.2003.1174605,11
61,An Efficient Algorithm for Mining Quantitative Association Rules to Raise Reliance of Data in Large Databases.,"<a href=""https://dblp.org/rec/conf/his/LeePP03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/his/LeePP03.html",被引次数暂无
62,Multiagent Reinforcement Learning Using OLAP-Based Association Rules Mining.,"<a href=""https://doi.org/10.1109/IAT.2003.1241150""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/IAT.2003.1241150,0
63,Comparison of Multidimensional Association Rules with Decision Trees for Large Database.,"<a href=""https://dblp.org/rec/conf/icai/Sug03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/icai/Sug03.html",被引次数暂无
64,Visualizing Association Rules for feedback within the legal system.,"<a href=""https://doi.org/10.1145/1047788.1047835""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1145/1047788.1047835,2
65,"Visualizing Frequent Itemsets, Association Rules, and Sequential Patterns in Parallel Coordinates.","<a href=""https://doi.org/10.1007/3-540-44839-X_3""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-44839-X_3,16
66,Generalized Closed Itemsets for Association Rule Mining.,"<a href=""https://doi.org/10.1109/ICDE.2003.1260845""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDE.2003.1260845,3
67,Mining Customer Value: From Association Rules to Direct Marketing.,"<a href=""https://doi.org/10.1109/ICDE.2003.1260853""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDE.2003.1260853,3
68,Integrating Fuzziness into OLAP for Multidimensional Fuzzy Association Rules Mining.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250954""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250954,7
69,Objective and Subjective Algorithms for Grouping Association Rules.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250956""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250956,8
70,A User-driven and Quality-oriented Visualization for Mining Association Rules.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250960""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250960,11
71,"T-Trees, Vertical Partitioning and Distributed Association Rule Mining.","<a href=""https://doi.org/10.1109/ICDM.2003.1250965""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250965,14
72,Optimized Disjunctive Association Rules via Sampling.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250901""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250901,1
73,The Rough Set Approach to Association Rule Mining.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250969""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250969,23
74,Facilitating Fuzzy Association Rules Mining by Using Multi-Objective Genetic Algorithms for Automated Clustering.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250977""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250977,19
75,Interpretations of Association Rules by Granular Computing.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250985""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250985,13
76,A High-Performance Distributed Algorithm for Mining Association Rules.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250932""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250932,12
77,Association Rule Mining in Peer-to-Peer Systems.,"<a href=""https://doi.org/10.1109/ICDM.2003.1250941""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2003.1250941,17
78,Helping User to Discover Association Rules: A Case in Soil Color as Aggregation of Other Soil Properties.,"<a href=""https://dblp.org/rec/conf/iceis/CaleroDSSSM03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iceis/CaleroDSSSM03.html",被引次数暂无
79,Scanning a Large Database Once to Mine Association Rules.,"<a href=""https://dblp.org/rec/conf/iceis/WangH03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iceis/WangH03.html",被引次数暂无
80,Efficient Implementation of Strong Negative Association Rules.,"<a href=""https://dblp.org/rec/conf/icmla/KantardzicB03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/icmla/KantardzicB03.html",被引次数暂无
81,Mining Association Rules with Linguistic Terms.,"<a href=""https://doi.org/10.1109/TAI.2003.1250180""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TAI.2003.1250180,0
82,APRIORI-SD: Adapting Association Rule Learning to Subgroup Discovery.,"<a href=""https://doi.org/10.1007/978-3-540-45231-7_22""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45231-7_22,24
83,Experiences of Using a Quantitative Approach for Mining Association Rules.,"<a href=""https://doi.org/10.1007/978-3-540-45080-1_93""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45080-1_93,9
84,Generating Representative from Clusters of Association Rules on Numeric Attributes.,"<a href=""https://doi.org/10.1007/978-3-540-45080-1_82""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45080-1_82,3
85,A Virtual Join Algorithm for Fast Association Rule Mining.,"<a href=""https://doi.org/10.1007/978-3-540-45080-1_108""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45080-1_108,0
86,Association Rule Mining Algorithms for Set-Valued Data.,"<a href=""https://doi.org/10.1007/978-3-540-45080-1_90""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45080-1_90,9
87,A Database-Independent Approach of Mining Association Rules with Genetic Algorithm.,"<a href=""https://doi.org/10.1007/978-3-540-45080-1_123""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/978-3-540-45080-1_123,3
88,Bitmap Techniques for Optimizing Decision Support Queries and Association Rule Algorithms.,"<a href=""https://doi.org/10.1109/IDEAS.2003.1214909""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/IDEAS.2003.1214909,1
89,Algorithms for Balancing Privacy and Knowledge Discovery in Association Rule Mining.,"<a href=""https://doi.org/10.1109/IDEAS.2003.1214911""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/IDEAS.2003.1214911,39
90,Efficiently Mining Maximal Frequent Sets for Discovering Association Rules.,"<a href=""https://doi.org/10.1109/IDEAS.2003.1214916""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/IDEAS.2003.1214916,0
91,On the Impact of Functional Dependencies on Association Rule Mining.,"<a href=""https://dblp.org/rec/conf/iicai/Janas03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iicai/Janas03.html",被引次数暂无
92,Sequential Association Rules from Multi-Stream Time Series Data - A Lattice Based Parallel Mining Approach.,"<a href=""https://dblp.org/rec/conf/iicai/SarkerHU03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iicai/SarkerHU03.html",被引次数暂无
93,Data Pre-processing for Association Rule Mining.,"<a href=""https://dblp.org/rec/conf/iicai/SrikumarB03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iicai/SrikumarB03.html",被引次数暂无
94,Converting Association Rules into Natural Language - an Attempt.,"<a href=""https://dblp.org/rec/conf/iis/StrossaR03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/iis/StrossaR03.html",被引次数暂无
95,A Layered Optimizer for Mining Association Rules Over Relational Database Management Systems.,"<a href=""https://dblp.org/rec/conf/ike/DudgikarCLW03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/ike/DudgikarCLW03.html",被引次数暂无
96,An Efficient Algorithm for Mining Quantitative Association Rules in Large Databases.,"<a href=""https://dblp.org/rec/conf/ike/LeePSP03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/ike/LeePSP03.html",被引次数暂无
97,Scanning Once a Large Database to Mine Association Rules by Growing a Prefix Tree for Each Transaction.,"<a href=""https://dblp.org/rec/conf/ike/WangHG03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/ike/WangHG03.html",被引次数暂无
