序号,论文标题,相关链接,论文编号,被引次数
1,Mining Fuzzy Multiple-Level Association Rules from Quantitative Data.,"<a href=""https://doi.org/10.1023/A:1020991105855""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1020991105855,42
2,Scoring the Data Using Association Rules.,"<a href=""https://doi.org/10.1023/A:1021931008240""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1021931008240,35
3,Mining gene expression databases for association rules.,"<a href=""https://doi.org/10.1093/bioinformatics/19.1.79""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1093/bioinformatics/19.1.79,234
4,Discovering calendar-based temporal association rules.,"<a href=""https://dblp.org/rec/journals/dke/LiNWJ03.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/journals/dke/LiNWJ03.html",被引次数暂无
5,The hybrid of association rule algorithms and genetic algorithms for tree induction: an example of predicting the student course performance.,"<a href=""https://doi.org/10.1016/S0957-4174(03)00005-8""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0957-4174(03)00005-8,22
6,"Erratum to ""The hybrid of association rule algorithms and genetic algorithms for tree induction: an example of predicting the student course performance"" [Expert Systems with Applications 25 (2003) 51-62].","<a href=""https://doi.org/10.1016/S0957-4174(03)00098-8""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0957-4174(03)00098-8,0
7,Fuzzy data mining for interesting generalized association rules.,"<a href=""https://doi.org/10.1016/S0165-0114(02)00272-5""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0165-0114(02)00272-5,101
8,Association rule computation using lexicographic order combination.,"<a href=""https://doi.org/10.3233/ica-2003-10408""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.3233/ica-2003-10408,0
9,Discovery of spatial association rules in geo-referenced census data: A relational mining approach.,"<a href=""http://content.iospress.com/articles/intelligent-data-analysis/ida00146""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""http://content.iospress.com/articles/intelligent-data-analysis/ida00146",被引次数暂无
10,Fast Discovery of Long Patterns for Association Rules.,"<a href=""https://doi.org/10.1080/0020716031000112376""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1080/0020716031000112376,5
11,Post-mining: maintenance of association rules by weighting.,"<a href=""https://doi.org/10.1016/S0306-4379(02)00079-0""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0306-4379(02)00079-0,37
